Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1696185456.304883,17,1696185456,303707361,GPS1_Frame,42.33422088623047,-71.0958480834961,17.600000381469727,327334.40625,4689013.0,19,T
1696185457.304909,18,1696185457,303678750,GPS1_Frame,42.334228515625,-71.09585571289062,17.600000381469727,327333.59375,4689013.5,19,T
1696185458.3049214,19,1696185458,303726911,GPS1_Frame,42.334232330322266,-71.09587097167969,17.5,327332.65625,4689014.0,19,T
1696185459.304274,20,1696185459,303155899,GPS1_Frame,42.33423614501953,-71.09588623046875,17.600000381469727,327331.4375,4689014.5,19,T
1696185460.3047466,21,1696185460,303621530,GPS1_Frame,42.334232330322266,-71.09590148925781,17.399999618530273,327329.90625,4689014.0,19,T
1696185461.3040946,22,1696185461,302992582,GPS1_Frame,42.334232330322266,-71.09591674804688,17.100000381469727,327328.6875,4689014.5,19,T
1696185462.3052304,23,1696185462,304122924,GPS1_Frame,42.33423614501953,-71.09593200683594,17.0,327327.3125,4689014.5,19,T
1696185463.3048809,24,1696185463,303537130,GPS1_Frame,42.33423614501953,-71.09595489501953,17.0,327325.8125,4689014.5,19,T
1696185464.3046253,25,1696185464,303440809,GPS1_Frame,42.33423614501953,-71.0959701538086,17.100000381469727,327324.4375,4689014.5,19,T
1696185465.3293757,26,1696185465,328209400,GPS1_Frame,42.3342399597168,-71.09598541259766,17.100000381469727,327323.0625,4689015.0,19,T
1696185466.3308892,27,1696185466,329886913,GPS1_Frame,42.33424377441406,-71.09600067138672,17.200000762939453,327321.84375,4689015.5,19,T
1696185467.3054798,28,1696185467,304388523,GPS1_Frame,42.33424758911133,-71.09601593017578,17.299999237060547,327320.625,4689016.0,19,T
1696185468.3334954,29,1696185468,332212686,GPS1_Frame,42.334251403808594,-71.09603118896484,17.399999618530273,327319.40625,4689016.5,19,T
1696185469.3321807,30,1696185469,331032514,GPS1_Frame,42.33425521850586,-71.0960464477539,17.5,327318.3125,4689017.0,19,T
1696185470.3055985,31,1696185470,304416418,GPS1_Frame,42.33426284790039,-71.09606170654297,17.5,327317.21875,4689017.5,19,T
1696185471.3061657,32,1696185471,305026054,GPS1_Frame,42.334266662597656,-71.09607696533203,17.600000381469727,327316.0,4689018.5,19,T
1696185472.3061287,33,1696185472,304984092,GPS1_Frame,42.33427429199219,-71.09608459472656,17.700000762939453,327314.9375,4689019.0,19,T
1696185473.331382,34,1696185473,330166578,GPS1_Frame,42.33427810668945,-71.09609985351562,17.799999237060547,327313.96875,4689020.0,19,T
1696185474.3069632,35,1696185474,305795431,GPS1_Frame,42.334285736083984,-71.09610748291016,17.899999618530273,327313.03125,4689020.5,19,T
1696185475.3069456,36,1696185475,305808305,GPS1_Frame,42.334293365478516,-71.09612274169922,18.100000381469727,327311.96875,4689021.0,19,T
1696185476.3060982,37,1696185476,304872989,GPS1_Frame,42.33429718017578,-71.09613800048828,18.399999618530273,327310.71875,4689021.5,19,T
1696185477.3054907,38,1696185477,304378509,GPS1_Frame,42.33430099487305,-71.09615325927734,18.600000381469727,327309.65625,4689022.0,19,T
1696185478.3055763,39,1696185478,304347276,GPS1_Frame,42.33430480957031,-71.0961685180664,18.799999237060547,327308.4375,4689023.0,19,T
1696185479.3055618,40,1696185479,304399967,GPS1_Frame,42.334312438964844,-71.09618377685547,19.200000762939453,327307.34375,4689023.5,19,T
1696185480.3056128,41,1696185480,304446697,GPS1_Frame,42.334320068359375,-71.09619140625,19.5,327306.25,4689024.5,19,T
1696185481.3057199,42,1696185481,304578542,GPS1_Frame,42.33432388305664,-71.09620666503906,20.0,327305.3125,4689025.0,19,T
1696185482.3298137,43,1696185482,328736782,GPS1_Frame,42.33433151245117,-71.09622192382812,20.399999618530273,327304.25,4689026.0,19,T
1696185483.3064406,44,1696185483,305220365,GPS1_Frame,42.3343391418457,-71.09622955322266,20.700000762939453,327303.28125,4689026.5,19,T
1696185484.330354,45,1696185484,329202651,GPS1_Frame,42.334346771240234,-71.09624481201172,21.100000381469727,327302.34375,4689027.5,19,T
1696185485.329502,46,1696185485,328444242,GPS1_Frame,42.3343505859375,-71.09625244140625,21.299999237060547,327301.28125,4689028.0,19,T
1696185486.3055708,47,1696185486,304472208,GPS1_Frame,42.33435821533203,-71.09626770019531,21.700000762939453,327300.46875,4689029.0,19,T
1696185487.3059537,48,1696185487,304896116,GPS1_Frame,42.33436584472656,-71.09627532958984,21.899999618530273,327299.53125,4689029.5,19,T
1696185488.3302574,49,1696185488,329205274,GPS1_Frame,42.33436965942383,-71.0962905883789,22.100000381469727,327298.5625,4689030.0,19,T
1696185489.306026,50,1696185489,304959297,GPS1_Frame,42.33437728881836,-71.09629821777344,22.200000762939453,327297.90625,4689031.0,19,T
1696185490.306368,51,1696185490,305271625,GPS1_Frame,42.33438491821289,-71.09630584716797,22.299999237060547,327297.09375,4689032.0,19,T
1696185491.3309903,52,1696185491,329875230,GPS1_Frame,42.33439254760742,-71.0963134765625,22.299999237060547,327296.3125,4689032.5,19,T
1696185492.3073406,53,1696185492,306220054,GPS1_Frame,42.33440017700195,-71.09632873535156,22.399999618530273,327295.5,4689033.5,19,T
